HerbariumID,FullNameCache,Country,Locality,Latitude,Longitude,CollectionDateBegin,outlier_detected,outlier_status,outlier_confidence,outlier_severity,outlier_score,outlier_primary_detector,outlier_primary_field,outlier_reason,outlier_summary
B100017784,Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG, Herkunft: Pavia Istituto e Orto Botanico dell'Università di Pavia, Italien: P[a]sso Oclini, Höhe: 1800m. 2002-05-28, Leg.: Cubr 39737.",46.3466758728027,11.4497928619384,5/28/2002,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
B100017785,Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem BG-Ort: AG. Herkunft: Graz Botanischer Gard[t]en der Karl-Franzens Universita[ä]t. [Wildherkunft: Wallis (Kanton), Berner Alpen, Gotthard-Gruppe, ""Gletscherboden"", Gletschervorfeld des Rhônegletschers. Rohböden auf Moränenmaterial. Höhe: 1770 - 1790m.] leg. Drescher, Drescher 8/1999. 2002-05-28, Leg.: Cubr 39738.",46.566665649414,8.36666679382324,5/28/2002,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
B100055551,Chenopodium polyspermum,Germany,"Germany: Bayern. Bayern, Lkr. Garmisch-Partenkirchen, S Riegsee (Bay 144) Ruderalfluren in Kiesgrube, 669 m, MTB 8333/1. 2001-07-30, Leg.: R. & E. Willing.",47.0,11.0,7/30/2001,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
B100055613,Chenopodium sp.,Germany,"Germany: Bayern. Bayern, Lkr. Garmisch-Partenkirchen, S Riegsee (Bay 144) Ruderalfluren in Kiesgrube, 669 m, MTB 8333/1. 2001-07-30, Leg.: R. & E. Willing.",47.0,11.0,7/30/2001,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
B100107563,Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG - 01 - 001 - 02, Herkunft: Lautaret Station Alpine du Lautaret, Frankreich: Reg. du Col du Lautaret, Lautaret, Höhe: 2100m. 2003-05-27, Leg.: Cubr 40600.",45.0354270935058,6.4044713973999,5/27/2003,True,confirmed,100,high,1.0,isolation_forest_detector,"decimalLatitude,decimalLongitude",Coordinate pair is unusual when latitude and longitude are considered together.,"High outlier detected in decimalLatitude,decimalLongitude by isolation_forest_detector."
