HerbariumID,Bild,DB,Family,FullNameCache,Anmerkungen,Sammlerteam,Sammelnummer,CollectionDateBegin,CollectionDateEnd,Country,Locality,TitelEtikett,Expeditionsangabe,ShowOnMap,Latitude,Longitude,FundortUNdOeko,NameCache,Genus,Identifier,Barcode,StableURI
B100017784,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B100017784/manifest.json,HERB,Asteraceae,Arnica montana,"Label data transcribed during a <a href=""https://www.herbonauten.de"" target=""_blank"">Herbonauten mission</a>",Cubr,39737,5/28/2002,5/28/2002,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG, Herkunft: Pavia Istituto e Orto Botanico dell'Università di Pavia, Italien: P[a]sso Oclini, Höhe: 1800m. 2002-05-28, Leg.: Cubr 39737.",,,https://www.openstreetmap.org/?mlat=46.3467&mlon=11.4498#map=15/46.3467/11.4498,46.3466758728027,11.4497928619384,,Arnica montana,Arnica,Th. Raus,B 10 0017784,http://herbarium.bgbm.org/object/B100017784
B100017785,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B100017785/manifest.json,HERB,Asteraceae,Arnica montana,"Label data transcribed during a <a href=""https://www.herbonauten.de"" target=""_blank"">Herbonauten mission</a>",Cubr,39738,5/28/2002,5/28/2002,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem BG-Ort: AG. Herkunft: Graz Botanischer Gard[t]en der Karl-Franzens Universita[ä]t. [Wildherkunft: Wallis (Kanton), Berner Alpen, Gotthard-Gruppe, ""Gletscherboden"", Gletschervorfeld des Rhônegletschers. Rohböden auf Moränenmaterial. Höhe: 1770 - 1790m.] leg. Drescher, Drescher 8/1999. 2002-05-28, Leg.: Cubr 39738.",,,https://www.openstreetmap.org/?mlat=46.5667&mlon=8.36667#map=15/46.5667/8.36667,46.566665649414,8.36666679382324,,Arnica montana,Arnica,Th. Raus,B 10 0017785,http://herbarium.bgbm.org/object/B100017785
B100055551,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B100055551/manifest.json,HERB,Chenopodiaceae,Chenopodium polyspermum,"Label data transcribed during a <a href=""https://www.herbonauten.de"" target=""_blank"">Herbonauten mission</a>",R. & E. Willing,,7/30/2001,7/30/2001,Germany,"Germany: Bayern. Bayern, Lkr. Garmisch-Partenkirchen, S Riegsee (Bay 144) Ruderalfluren in Kiesgrube, 669 m, MTB 8333/1. 2001-07-30, Leg.: R. & E. Willing.",,,https://www.openstreetmap.org/?mlat=47&mlon=11#map=15/47/11,47,11,,Chenopodium polyspermum,Chenopodium,,B 10 0055551,http://herbarium.bgbm.org/object/B100055551
B100055613,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B100055613/manifest.json,HERB,Chenopodiaceae,Chenopodium sp.,"Label data transcribed during a <a href=""https://www.herbonauten.de"" target=""_blank"">Herbonauten mission</a>",R. & E. Willing,,7/30/2001,7/30/2001,Germany,"Germany: Bayern. Bayern, Lkr. Garmisch-Partenkirchen, S Riegsee (Bay 144) Ruderalfluren in Kiesgrube, 669 m, MTB 8333/1. 2001-07-30, Leg.: R. & E. Willing.",,,https://www.openstreetmap.org/?mlat=47&mlon=11#map=15/47/11,47,11,,Chenopodium sp.,Chenopodium,,B 10 0055613,http://herbarium.bgbm.org/object/B100055613
B100107563,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B100107563/manifest.json,HERB,Asteraceae,Arnica montana,"Label data transcribed during a <a href=""https://www.herbonauten.de"" target=""_blank"">Herbonauten mission</a>",Cubr,40600,5/27/2003,5/27/2003,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG - 01 - 001 - 02, Herkunft: Lautaret Station Alpine du Lautaret, Frankreich: Reg. du Col du Lautaret, Lautaret, Höhe: 2100m. 2003-05-27, Leg.: Cubr 40600.",,,https://www.openstreetmap.org/?mlat=45.0354&mlon=6.40447#map=15/45.0354/6.40447,45.0354270935058,6.4044713973999,,Arnica montana,Arnica,Th. Raus,B 10 0107563,http://herbarium.bgbm.org/object/B100107563
