FullNameCache,Country,Locality,Latitude,Longitude,CollectionDateBegin,outlier_detected,outlier_status,outlier_confidence,outlier_severity,outlier_score,outlier_primary_detector,outlier_primary_field,outlier_model_count,llm_flagged,outlier_reason,outlier_summary
Capsella bursa-pastoris (L.) Medik.,Germany,"Brandenburg, 0,6 km S Kleinbeeren",52.34999847412109,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Centaurea cyanus L.,Germany,"Brandenburg, 0,6 km S Kleinbeeren",52.34999847412109,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Crepis capillaris (L.) Wallr.,Germany,"Brandenburg, 0,6 km S Kleinbeeren",52.34999847412109,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Convolvulus arvensis L.,Germany,"Brandenburg, S Kleinbeeren",52.35832977294922,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Cirsium arvense (L.) Scop.,Germany,"Brandenburg, S Kleinbeeren",52.35832977294922,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Cichorium intybus L.,Germany,"Brandenburg, S Kleinbeeren",52.35832977294922,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Epilobium angustifolium L.,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Epilobium ciliatum Raf.,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Epilobium hirsutum L.,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Fallopia convolvulus (L.) Á. Löve,Germany,"Brandenburg, 0,6 km S Kleinbeeren",52.34999847412109,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Euphorbia cyparissias L.,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Erodium cicutarium (L.) L'Hér.,Germany,"Brandenburg, 0,6 km S Kleinbeeren",52.34999847412109,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Galium L.,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Geum urbanum L.,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Geranium pusillum L.,Germany,"Brandenburg, 0,6 km S Kleinbeeren",52.34999847412109,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Hieracium pilosella L.,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Heracleum sphondylium L.,Germany,"Brandenburg, S Kleinbeeren",52.35832977294922,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Holcus lanatus L.,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Knautia arvensis (L.) Coult.,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Lycopsis arvensis L.,Germany,"Brandenburg, 0,6 km S Kleinbeeren",52.34999847412109,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Lepidium virginicum L.,Germany,"Brandenburg, S Kleinbeeren",52.35832977294922,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Lepidium ruderale L.,Germany,"Brandenburg, S Kleinbeeren",52.35832977294922,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Medicago sativa L.,Germany,"Brandenburg, S Kleinbeeren",52.35832977294922,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Matricaria chamomilla L.,Germany,"Brandenburg, S Kleinbeeren",52.35832977294922,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Mycelis muralis (L.) Dumort.,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Myosotis arvensis (L.) Hill,Germany,"Brandenburg, 0,6 km S Kleinbeeren",52.34999847412109,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Myosotis arvensis (L.) Hill,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Poaceae Barnhart,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Polygonum convolvulus L.,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Rumex thyrsiflorus Fingerh.,Germany,"Brandenburg, S Kleinbeeren",52.35832977294922,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Senecio vernalis Waldst. & Kit.,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Solanum nigrum L.,Germany,"Brandenburg, 0,6 km S Kleinbeeren",52.34999847412109,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Sisymbrium altissimum L.,Germany,"Brandenburg, 0,6 km S Kleinbeeren",52.34999847412109,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Sisymbrium officinale (L.) Scop.,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Taraxacum Weber,Germany,"Brandenburg, S Kleinbeeren",52.35832977294922,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Torilis japonica (Houtt.) DC.,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Viola tricolor L.,Germany,"Brandenburg, 0,6 km S Kleinbeeren",52.34999847412109,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Vicia cracca L.,Germany,"Brandenburg, 1,9 km WSW Siethen",52.275001525878906,31.183330535888672,1994-07-03,True,fuzzy,35,low,0.35,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 8.17, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
Vicia cracca L.,Germany,"Brandenburg, S Kleinbeeren",52.35832977294922,22.333330154418945,1995-08-26,True,fuzzy,26,low,0.2630050890632876,zscore_detector,decimalLongitude,1,False,"decimalLongitude value has z-score 4.51, above threshold 3.0.",Low outlier detected in decimalLongitude by zscore_detector.
