FullNameCache,Country,Locality,Latitude,Longitude,CollectionDateBegin,outlier_detected,outlier_status,outlier_confidence,outlier_severity,outlier_score,outlier_primary_detector,outlier_primary_field,outlier_model_count,llm_flagged,outlier_reason,outlier_summary
Valeriana excelsa Poir.,Germany,"Germany: Nordrhein-Westfalen. Aachen, Geusenweg WSW Reinartzkehl,. Feldwegrand. Alt.: 280m. 10.07.2010, Leg.: M. Ristow 520/10.",50.758060455322266,6.033329963684082,2010-07-10,True,fuzzy,8,info,0.0764480044403185,iqr_detector,decimalLongitude,1,False,"decimalLongitude value 6.033329963684082 is outside the IQR fence [6.292, 16.996].",Info outlier detected in decimalLongitude by iqr_detector.
Cerinthe major subsp. oranensis (Batt.) Selvi & L.Cecchi,Germany,"Germany: Berlin. Source collection: Tunisia, Hamman-Lif beach, 25.04.2004. Cultivated in Berlin. 2010-02-25, Leg.: F. Selvi & M. Bigazzi 04.46-C.",36.729000091552734,10.347999572753906,2010-02-25,True,fuzzy,14,info,0.1434332947103015,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 36.729000091552734 is outside the IQR fence [46.882, 55.785].",Info outlier detected in decimalLatitude by iqr_detector.
Aizoon canariense,Germany,"Germany: Berlin. Kultivierte Pflanze. Herkunft: Spain, Islas Canarias, Tenerife Municipio Santiago del Teide, road towards Guia de Isora- Adeje, ca. 1 km after Tamaimo on left road side, 800 m. in vertical rock face, well shaded on slightly moist. 2005-09-15, Leg.: M. & K. Weigend 8705.",28.260995864868164,-16.816635131835938,2005-09-15,True,fuzzy,15,low,0.15,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 28.260995864868164 is outside the IQR fence [46.882, 55.785].",Low outlier detected in decimalLatitude by iqr_detector.
Bromus racemosus L. subsp. racemosus,Germany,"Germany: Rheinland-Pfalz. Gemünd, breite Irsenaue am TK-S-Rand, TK 5902/4. nasse Auenwiese. 04.06.2006, Leg.: R. Hand 5182.",49.99972152709961,6.156109809875488,2006-06-04,True,fuzzy,8,info,0.075759804960969,iqr_detector,decimalLongitude,1,False,"decimalLongitude value 6.156109809875488 is outside the IQR fence [6.292, 16.996].",Info outlier detected in decimalLongitude by iqr_detector.
Scabiosa atropurpurea (L.) Greuter & Burdet,Germany,"Germany: dép. Vaucluse. Luberon, Saignon, in the castle area, medium level. disturbed ground on calcareous sandstone rocks. Alt.: 496 m. 11.09.2013, Leg.: R. Hand 6341.",43.86333084106445,5.428890228271484,2013-09-11,True,fuzzy,10,info,0.0953487685480539,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 43.86333084106445 is outside the IQR fence [46.882, 55.785].",Info outlier detected in decimalLatitude by iqr_detector.
Scabiosa atropurpurea (L.) Greuter & Burdet,Germany,"Germany: dép. Vaucluse. Luberon, Saignon, in the castle area, medium level. disturbed ground on calcareous sandstone rocks. Alt.: 496 m. 11.09.2013, Leg.: R. Hand 6341.",43.86333084106445,5.428890228271484,2013-09-11,True,fuzzy,10,info,0.0953487685480539,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 43.86333084106445 is outside the IQR fence [46.882, 55.785].",Info outlier detected in decimalLatitude by iqr_detector.
Adenocarpus telonensis (Loisel.) DC.,Germany,"Germany: dép. Var. Bormes-les-Mimosas, forest road from Col de Gratteloup towards Vallon du Fumas. dense maquis with much Quercus suber. Alt.: 287 m. 19.09.2013, Leg.: R. Hand 6350.",43.17082977294922,6.334440231323242,2013-09-19,True,fuzzy,10,info,0.1000161419704945,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 43.17082977294922 is outside the IQR fence [46.882, 55.785].",Info outlier detected in decimalLatitude by iqr_detector.
Seseli galloprovinciale Reduron,Germany,"Germany: dép. Alpes-de-Haute-Provence. Castellane, at fossil excavation site near Col de Léques, beside exhibition. rocky slope, Jurassic limestone. Alt.: 1207 m. 10.09.2013, Leg.: R. Hand 6336.",43.87665939331055,6.459440231323242,2013-09-10,True,fuzzy,10,info,0.0952589357183626,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 43.87665939331055 is outside the IQR fence [46.882, 55.785].",Info outlier detected in decimalLatitude by iqr_detector.
Seseli galloprovinciale Reduron,Germany,"Germany: dép. Alpes-de-Haute-Provence. Castellane, at fossil excavation site near Col de Léques, beside exhibition. rocky slope, Jurassic limestone. Alt.: 1207 m. 10.09.2013, Leg.: R. Hand 6336.",43.87665939331055,6.459440231323242,2013-09-10,True,fuzzy,10,info,0.0952589357183626,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 43.87665939331055 is outside the IQR fence [46.882, 55.785].",Info outlier detected in decimalLatitude by iqr_detector.
Centaurea thuillieri (Dostál) J.Duvign. & Lambinon,Germany,"Germany: Rheinland-Pfalz. Großlangenfeld, E Heltenbachermühle, S Ihrenbachtal nahe Wegekreuzung, TK 5703/3. Wegrand. Alt.: 425 m. 02.08.2013, Leg.: R. Hand & S. Caspari 6253.",50.223609924316406,6.239170074462891,2013-08-02,True,fuzzy,8,info,0.0752942397023632,iqr_detector,decimalLongitude,1,False,"decimalLongitude value 6.239170074462891 is outside the IQR fence [6.292, 16.996].",Info outlier detected in decimalLongitude by iqr_detector.
