model,records,suspicious_rate,avg_confidence,avg_duration_s,total_duration_s,avg_input_tokens,avg_output_tokens,avg_total_tokens,total_input_tokens,total_output_tokens,total_estimated_cost_usd,baseline_agreement_rate,avg_abs_confidence_delta_to_baseline,api_errors
gpt-5.4-mini,5,0.6,0.8560000000000001,2.286719759972766,11.43359879986383,1017.2,213.0,1230.2,5086,1065,0.008607,1.0,0.05599999999999998,0
gpt-5.4-nano,5,0.6,0.812,2.7793258799239995,13.896629399619997,1017.2,299.8,1317.0,5086,1499,0.0028909499999999998,1.0,0.09999999999999995,0
o4-mini,5,0.6,0.76,7.6526253200136125,38.26312660006806,1017.2,737.4,1754.6,5086,3687,0.0218174,1.0,0.096,0
gpt-5.4,5,0.6,0.8240000000000001,4.432999399956316,22.16499699978158,1017.2,246.4,1263.6,5086,1232,0.031194999999999997,,,0
