HerbariumID,Bild,DB,Family,FullNameCache,Anmerkungen,Sammlerteam,Sammelnummer,CollectionDateBegin,CollectionDateEnd,Country,Locality,TitelEtikett,Expeditionsangabe,ShowOnMap,Latitude,Longitude,FundortUNdOeko,NameCache,Genus,Identifier,Barcode,StableURI
B101070537,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B101070537/manifest.json,HERB,ACERACEAE,Acer tataricum L.,"Label data transcribed during a <a href=""https://www.herbonauten.de"" target=""_blank"">Herbonauten mission</a>",Schmattorsch,,1952-07-23,1952-07-23,Germany,"Germany: Brandenburg. Dahme: Schloßhof. 1952-07-23, Leg.: Schmattorsch.",,,https://www.openstreetmap.org/?mlat=51.8173&mlon=13.4029#map=15/51.8173/13.4029,51.817291259765625,13.402899742126465,,Acer tataricum L.,Acer,,B 10 1070537,http://herbarium.bgbm.org/object/B101070537
JACQID1077534,,JACQ,ASTERACEAE,Matricaria chamomilla L.,MTB: 3346/2,"Willing,R. & Willing,E.",18338 D,2002-06-22,,Germany,"Brandenburg, O Gorinsee",,,https://www.openstreetmap.org/?mlat=52.6836&mlon=13.4758#map=15/52.6836/13.4758,52.68360900878906,13.475830078125,,Matricaria chamomilla,Matricaria,E.Willing,JACQ-ID 1077534,https://herbarium.bgbm.org/object/JACQID1077534
B101189624,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B101189624/manifest.json,JACQ,ASTERACEAE,Lapsana communis subsp. intermedia (M. Bieb.) Hayek,"PRN2021-030; Additional specimens: B 10 1189625, B 10 0612040","Hand,R.",9359,2020-06-12,,Germany,"Idar-Oberstein-Algenrodt, am N-S-Weg zwischen Wasserauffangbecken und Sportplatz in ehem. Militärgelände aber bis in das benachbarte Neubaugebiet ausstrahlend",,,https://www.openstreetmap.org/?mlat=49.7178&mlon=7.28194#map=15/49.7178/7.28194,49.71778106689453,7.28193998336792,,Lapsana communis subsp. intermedia,Lapsana,R. Hand,B 10 1189624,https://herbarium.bgbm.org/object/B101189624
B101257705,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B101257705/manifest.json,JACQ,CYPERACEAE,Carex ligerica J. Gay,PRN2022-045; Herbarium Hans-Christian Kläge,"Kläge,H.-C.",50,2013-05-23,,Germany,"Kühnauer Heide, SO Rand, MTB 4138SO",,,,,,,Carex ligerica,Carex,H.-C. Kläge,B 10 1257705,https://herbarium.bgbm.org/object/B101257705
JACQID1087568,,JACQ,FABACEAE,Trifolium pratense L.,MTB: 3646/1,"Willing,R. & Willing,E.",5539 D,1999-05-16,,Germany,"Brandenburg, W Mahlow",,,https://www.openstreetmap.org/?mlat=52.3717&mlon=13.3481#map=15/52.3717/13.3481,52.37166976928711,13.34805965423584,,Trifolium pratense,Trifolium,E.Willing,JACQ-ID 1087568,https://herbarium.bgbm.org/object/JACQID1087568
B101000485,,HERB,Potamogetonaceae,Potamogeton alpinus,"Label data transcribed during a <a href=""https://www.herbonauten.de"" target=""_blank"">Herbonauten mission</a>",Heiland,,1882-07-01,1882-07-31,Germany,"Germany: Brandenburg. Lychen: Schreibermühle im Mühlengraben. Torflöcher der 3 Seen. Wiesengraben b. Brüsenwalde. 1882-07-01 - 1882-07-31, Leg.: Heiland.",,,https://www.openstreetmap.org/?mlat=53.234&mlon=13.3863#map=15/53.234/13.3863,53.23395538330078,13.38626194000244,,Potamogeton alpinus,Potamogeton,,B 10 1000485,http://herbarium.bgbm.org/object/B101000485
B101257692,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B101257692/manifest.json,JACQ,CYPERACEAE,Carex muricata L.,PRN2022-045; Herbarium Hans-Christian Kläge,"Kläge,H.-C.",77,2013-06-06,,Germany,"Kühnauer Heide, N-Teil, MTB 4138SO",,,,,,,Carex muricata,Carex,H.-C. Kläge,B 10 1257692,https://herbarium.bgbm.org/object/B101257692
JACQID1060277,,JACQ,POACEAE,Agrostis capillaris L.,MTB: 4040/1/2/2,"Willing,R. & Willing,E.",27163 D,2011-07-07,,Germany,"Sachsen-Anhalt, NO Weiden",,,https://www.openstreetmap.org/?mlat=51.9892&mlon=12.4019#map=15/51.9892/12.4019,51.98917007446289,12.40194034576416,,Agrostis capillaris,Agrostis,E.Willing,JACQ-ID 1060277,https://herbarium.bgbm.org/object/JACQID1060277
B300324325,,HERB,Amblystegiaceae,Leptodictyum kochii (Schimp.) Warnst.,"Label data transcribed during a <a href=""https://www.herbonauten.de"" target=""_blank"">Herbonauten mission</a>",Frahm,918325,1991-02-24,1991-02-24,Germany,"Germany: Nordrhein-Westfalen. Kempen-Krefeld. Rahmbruch S Tönisberg bei der Waldschänke, Aushübe auf dem Gelände der ehem. Müllkippe auf offenem Sandboden am Rande von Tümpeln Pleistozän 20. 1991-02-24, Leg.: Frahm 918325.",,,https://www.openstreetmap.org/?mlat=51.4058&mlon=6.50567#map=15/51.4058/6.50567,51.40580749511719,6.50567102432251,,Leptodictyum kochii (Schimp.) Warnst.,Leptodictyum,,B 30 0324325,http://herbarium.bgbm.org/object/B300324325
B101070151,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B101070151/manifest.json,HERB,ACERACEAE,Acer platanoides L.,"Label data transcribed during a <a href=""https://www.herbonauten.de"" target=""_blank"">Herbonauten mission</a>",Ziesché,,1909-06-10,1909-06-10,Germany,"Germany: Hessen. Bad Nauheim; an der Usa. 144 m. 1909-06-10, Leg.: Ziesché.",,,https://www.openstreetmap.org/?mlat=50.3642&mlon=8.74284#map=15/50.3642/8.74284,50.364227294921875,8.742842674255371,,Acer platanoides L.,Acer,Graf Schwerin,B 10 1070151,http://herbarium.bgbm.org/object/B101070151
